Index,Airport Name,Latitude,Longitude
1, Wiley Post-Will Rogers Mem, 71.2854, -156.7787
2, Deadhorse, 70.1948, -148.4647
3, Ralph Wien Memorial, 64.3219, -149.1200
4, Fairbanks Intl, 64.8151, -147.8567
5, Nome, 64.5111, -165.4452
6, St Mary's, 62.0583, -163.3053
7, Aniak, 61.5797, -159.5450
8, Anchorage Intl, 61.1743, -149.9962
9, Tuluksak, 61.1015, -160.9605
10, Akiachak, 60.9020, -161.4393
11, Akiak, 60.8919, -161.3923
12, Kwethluk, 60.8069, -161.4439
13, Bethel, 60.7797, -161.8375
14, Napaskiak, 60.7030, -161.7732
15, Napakiak, 60.6885, -161.9880
16, Merle K (Mudhole) Smith, 60.4915, -162.2767
17, Tuntutuliak, 60.3352, -162.6654
18, Eek, 60.2169, -162.0428
19, Kongiganak, 60.9876, -161.4355
20, Kwigillingok, 59.8761, -163.1669
21, Quinhagak, 59.7495, -161.9010
22, Yakutat, 59.5033, -139.6612
23, Dillingham, 59.0456, -158.5050
24, King Salmon, 58.6883, -156.6617
25, Gustavus, 58.4210, -135.7066
26, Juneau Intl, 58.3549, -134.5802
27, Kodiak, 57.7493, -152.4949
28, St Paul Island, 57.1507, -170.2174
29, Sitka, 57.0469, -135.3616
30, Port Heiden, 56.9492, -158.6255
31, James A Johnson Petersburg, 56.8017, -132.9511
32, Wrangell, 56.4843, -132.3698
33, Ketchikan Intl, 55.3556, -131.7137
34, Sand Point, 55.3169, -160.4914
35, Cold Bay, 55.2044, -162.7247
36, Unalaska, 53.9001, -166.5439
37, Eareckson As, 52.7123, 174.1136
38, Adak Naf, 51.8777, -176.6590
39, Bellingham Intl, 48.7920, -122.5373
40, Glacier Park Intl, 48.3105, -114.2558
41, Minot Intl, 48.2593, -101.2783
42, William R Fairchild Intl, 48.1202, -123.5000
43, Grand Forks Afb, 47.9455, -97.1760
44, Grand Forks Intl, 47.9492, -97.1760
45, Spokane Intl, 47.6197, -117.5339
46, Great Falls Intl, 47.4820, -111.3560
47, Seattle-Tacoma Intl, 47.4490, -122.3086
48, Pangborn Memorial, 47.3997, -120.2044
49, Grant County, 47.2076, -119.3192
50, Missoula Intll, 46.9163, -114.0912
51, Hector Intll, 46.9209, -96.8158
52, Duluth Intl, 46.8421, -92.1948
53, Bismarck Muni, 46.7741, -100.7467
54, Pullman/Moscow Regional, 46.7439, -117.1108
55, Helena Regional, 46.6068, -111.9837
56, Yakima Air Terminal, 46.5682, -120.5432
57, Marquette County, 46.3536, -87.3942
58, Lewiston-Nez Perce County, 46.3745, -117.0148
59, Tri-Cities, 46.2639, -119.1131
60, Walla Walla Regional, 46.0958, -118.2883
61, Bert Mooney, 45.9503, -112.4960
62, Billings Logan Intl, 45.8097, -108.5373
63, Gallatin Field, 45.7774, -111.1533
64, Eastern Oregon Regional At Pendleton, 45.6951, -118.8419
65, Portland Intl, 45.5887, -122.5975
66, Mcnary Fld, 45.5346, -122.9120
67, Minneapolis-St Paul Intl/Wold-Chamberlain, 44.8820, -93.2165
68, Bangor Intl, 44.8074, -68.8281
69, Central Wisconsin, 44.7873, -89.6668
70, Cherry Capital, 44.7414, -85.5822
71, Austin Straubel Intll, 44.4850, -88.1292
72, Burlington Intl, 44.4695, -73.1533
73, Outagamie County, 44.2603, -88.5148
74, Roberts Field, 44.2541, -121.1503
75, Mahlon Sweet Field, 44.1246, -123.2146
76, Rapid City Regional, 44.0453, -103.0568
77, Wittman Regional, 43.9661, -88.5518
78, Rochester Intll, 43.9072, -92.5005
79, La Crosse Muni, 43.8784, -91.2565
80, Portland Intl Jetport, 43.6462, -70.3093
81, Jackson Hole, 43.6073, -110.7375
82, Joe Foss Field, 43.5804, -96.7415
83, Boise Air Terminal /Gowen Fld/, 43.5704, -116.2238
84, Mbs Intll, 43.5329, -84.0794
85, Fanning Field, 43.5044, -112.0717
86, Friedman Memorial, 43.5044, -114.2962
87, North Bend Muni, 43.4171, -124.2462
88, Muskegon County, 43.1695, -86.2373
89, Oneida County, 43.2349, -75.4050
90, Dane County Regional-Truax Field, 43.1400, -89.3375
91, Greater Rochester Intl, 43.1189, -77.6727
92, Syracuse Hancock Intl, 43.1112, -76.1063
93, Bishop Intll, 42.9405, -85.5774
94, General Mitchell Intll, 42.9476, -87.8966
95, Greater Buffalo Intl, 42.9400, -78.7322
96, Manchester, 42.9326, -71.4357
97, Pocatello Regional, 42.9095, -112.5910
98, Natrona County Intl, 42.8966, -106.4646
99, Kent County Intl, 42.8818, -85.5239
100, Capital City, 42.2124, -83.3534
101, Albany County, 42.7470, -73.8035
102, Waterloo Muni, 42.5571, -92.4009
103, Tompkins County, 42.4910, -76.4586
104, Twin Falls-Sun Valley Regional, 42.4818, -114.4877
105, Detroit City, 42.4092, -83.0099
106, Sioux Gateway, 42.4026, -96.3842
107, Dubuque Regional, 42.4014, -90.7095
108, Rogue Valley Intl- M, 42.3736, -122.8726
109, General Edward Lawrence Logan, 42.3643, -71.0052
110, Worcester Muni, 42.2673, -71.8757
111, Kalamazoo/Battle Creek International, 42.2352, -85.5512
112, Detroit Metropolitan Wayne County, 42.2121, -83.3489
113, Binghamton Regional/Edwin A Link Field, 42.2085, -75.9827
114, Greater Rockford, 42.2009, -89.0972
115, Elmira/Corning Regional, 42.1591, -76.8919
116, Klamath Falls Intll, 42.1538, -121.7335
117, Erie Intl, 42.0836, -80.1760
118, Chicago O'hare Intl, 41.9786, -87.9048
119, Bradley Intl, 41.9389, -72.6832
120, Cedar Rapids Muni, 41.8847, -91.7109
121, William B. Heilig Field, 41.7834, -87.7523
122, Merrill C Meigs, 41.8623, -87.6091
123, Chicago Midway, 41.7867, -87.7376
124, Jack Mc Namara Field, 41.7016, -86.8214
125, Theodore Francis Green State, 41.7270, -71.4306
126, Michiana Rgnl Transportation Center, 41.7096, -86.3173
127, Toledo Express, 41.5920, -83.8030
128, Des Moines Intl, 41.5340, -93.6585
129, Stewart Int'l, 41.5041, -74.1048
130, Quad-City, 41.4485, -90.5076
131, Cleveland-Hopkins Intl, 41.4105, -81.8380
132, Wilkes-Barre/Scranton Intl, 41.3385, -75.7249
133, Eppley Airfield, 41.3030, -95.8936
134, Tweed-New Haven, 41.2632, -72.8867
135, Youngstown-Warren Regional, 41.2606, -80.6793
136, Westchester County, 41.0664, -73.7085
137, Fort Wayne Intll, 40.9783, -85.1951
138, Arcata, 40.9780, -124.1086
139, Akron-Canton Regional, 40.9168, -81.4422
140, Lincoln Muni, 40.8491, -96.7537
141, University Park, 40.8491, -77.8487
142, Elko Muni-J.C. Harris Field, 40.8249, -115.7920
143, Long Island Mac Arthur, 40.7895, -73.1002
144, Salt Lake City Intl, 40.7856, -111.9769
145, Burlington Regional, 40.7720, -91.1254
146, La Guardia, 40.7769, -73.8740
147, Newark Intl, 40.6895, -74.1745
148, Greater Peoria Regional, 40.6642, -89.6932
149, Lehigh Valley Intll, 40.6520, -75.4392
150, John F Kennedy Intl, 40.6413, -73.7781
151, Redding Muni, 40.5090, -122.2964
152, Pittsburgh Intll, 40.4914, -80.2329
153, Yampa Valley, 40.4852, -106.8260
154, Bloomington/Normal, 40.4773, -88.9151
155, Purdue University, 40.4120, -86.9369
156, Mercer County, 40.2763, -74.8135
157, Harrisburg Intll, 40.1935, -76.7564
158, University Of Illinois-Willard, 40.0390, -88.2786
159, Port Columbus Intl, 39.9979, -82.8919
160, Quincy Muni Baldwin Field, 39.9428, -91.1946
161, James M Cox Dayton Intl, 39.9025, -84.2191
162, Philadelphia Intl, 39.8729, -75.2437
163, Capital, 39.9015, -89.0853
164, Decatur, 39.8327, -88.8658
165, Chico Muni, 39.7988, -121.8580
166, Stapleton Intl, 39.7750, -104.9370
167, Indianapolis Intl, 39.7173, -86.2946
168, Eagle County Regional, 39.6425, -106.9185
169, Reno/Tahoe Intll, 39.4991, -119.7681
170, Atlantic City Intll, 39.4576, -74.5772
171, Hulman Regional, 39.4515, -87.3073
172, Kansas City Intl, 39.2976, -94.7139
173, Aspen-Pitkin Co/Sardy Field, 39.2232, -106.8682
174, Baltimore-Washington Intl, 39.1753, -76.6683
175, Walker Field, 39.1224, -108.5270
176, Cincinnati/Northern Kentucky Intl, 39.0488, -84.6678
177, Washington Dulles Intl, 38.9445, -77.4558
178, Lake Tahoe, 38.9050, -119.9920
179, Washington National, 38.8512, -77.0402
180, Columbia Regional, 38.8181, -92.2218
181, City Of Colorado Springs Muni, 38.8058, -104.7000
182, Lambert-St Louis Intl, 38.7477, -90.3628
183, Sacramento Metropolitan, 38.6950, -121.5908
184, Gunnison County, 38.5339, -106.9328
185, Sonoma County, 38.5069, -122.8129
186, Yeager, 38.3732, -81.5951
187, Tri-State/Milton J.Ferguson Field, 38.3650, -82.5580
188, Pueblo Memorial, 38.2892, -104.4972
189, Louisville Intl, 38.1744, -85.7360
190, Charlottesville-Albemarle, 38.1402, -78.4523
191, Evansville Regional, 38.0372, -87.5324
192, Blue Grass, 38.0402, -84.6059
193, Stockton Metropolitan, 37.8947, -121.2378
194, Greenbrier Valley, 37.8596, -80.3995
195, Williamson County Regional, 37.7542, -89.0105
196, Forney Aaf, 37.7025, -97.2169
197, Metropolitan Oakland Intl, 37.7213, -122.2208
198, Wichita Mid-Continent, 37.6499, -97.4331
199, Modesto City-County--Harry Sham Field, 37.6319, -120.9565
200, Mammoth Lakes, 37.6242, -118.8378
201, San Francisco Intl, 37.6189, -122.3750
202, Richmond Intll, 37.5052, -77.3197
203, San Jose Intll, 37.3626, -121.9290
204, Roanoke Regional/Woodrum Field, 37.3245, -79.9754
205, Merced Municipal/Macready Field, 37.2849, -120.5137
